knob,seed,metric,n_events,onpolicy_mean,v_true_pi0
50000,1016,rev,437,0.007894202494356383,0.00814766840343161
50000,1017,ctr,2446,0.04892,0.04967408156579895
50000,1017,cvr,457,0.00914,0.00900742069857814
50000,1017,rev,457,0.00917832221548732,0.00814766840343161
50000,1018,ctr,2501,0.05002,0.04967408156579895
50000,1018,cvr,442,0.00884,0.00900742069857814
50000,1018,rev,442,0.007910275249397232,0.00814766840343161
50000,1019,ctr,2385,0.0477,0.04967408156579895
50000,1019,cvr,443,0.00886,0.00900742069857814
50000,1019,rev,443,0.007902337454292488,0.00814766840343161
50000,1020,ctr,2387,0.04774,0.04967408156579895
50000,1020,cvr,457,0.00914,0.00900742069857814
50000,1020,rev,457,0.007667121551210478,0.00814766840343161
50000,1021,ctr,2408,0.04816,0.04967408156579895
50000,1021,cvr,439,0.00878,0.00900742069857814
50000,1021,rev,439,0.008214168373497428,0.00814766840343161
50000,1022,ctr,2462,0.04924,0.04967408156579895
50000,1022,cvr,470,0.0094,0.00900742069857814
50000,1022,rev,470,0.00896644045123633,0.00814766840343161
50000,1023,ctr,2411,0.04822,0.04967408156579895
50000,1023,cvr,456,0.00912,0.00900742069857814
50000,1023,rev,456,0.008779916624883,0.00814766840343161
50000,1024,ctr,2447,0.04894,0.04967408156579895
50000,1024,cvr,417,0.00834,0.00900742069857814
50000,1024,rev,417,0.007710533974192333,0.00814766840343161
50000,1025,ctr,2544,0.05088,0.04967408156579895
50000,1025,cvr,456,0.00912,0.00900742069857814
50000,1025,rev,456,0.007980891846471725,0.00814766840343161
50000,1026,ctr,2432,0.04864,0.04967408156579895
50000,1026,cvr,439,0.00878,0.00900742069857814
50000,1026,rev,439,0.00785890114167321,0.00814766840343161
50000,1027,ctr,2444,0.04888,0.04967408156579895
50000,1027,cvr,419,0.00838,0.00900742069857814
50000,1027,rev,419,0.007477560683558495,0.00814766840343161
50000,1028,ctr,2489,0.04978,0.04967408156579895
50000,1028,cvr,477,0.00954,0.00900742069857814
50000,1028,rev,477,0.007952480295832773,0.00814766840343161
50000,1029,ctr,2479,0.04958,0.04967408156579895
50000,1029,cvr,436,0.00872,0.00900742069857814
50000,1029,rev,436,0.0077699226154846635,0.00814766840343161
50000,1030,ctr,2495,0.0499,0.04967408156579895
50000,1030,cvr,448,0.00896,0.00900742069857814
50000,1030,rev,448,0.008436394662576788,0.00814766840343161
50000,1031,ctr,2501,0.05002,0.04967408156579895
50000,1031,cvr,451,0.00902,0.00900742069857814
50000,1031,rev,451,0.008491730459568721,0.00814766840343161
50000,1032,ctr,2553,0.05106,0.04967408156579895
50000,1032,cvr,462,0.00924,0.00900742069857814
50000,1032,rev,462,0.008475354765427367,0.00814766840343161
50000,1033,ctr,2580,0.0516,0.04967408156579895
50000,1033,cvr,455,0.0091,0.00900742069857814
50000,1033,rev,455,0.008379681602123252,0.00814766840343161
50000,1034,ctr,2492,0.04984,0.04967408156579895
50000,1034,cvr,468,0.00936,0.00900742069857814
50000,1034,rev,468,0.008691026318114609,0.00814766840343161
50000,1035,ctr,2536,0.05072,0.04967408156579895
50000,1035,cvr,476,0.00952,0.00900742069857814
50000,1035,rev,476,0.008242186685751688,0.00814766840343161
50000,1036,ctr,2393,0.04786,0.04967408156579895
50000,1036,cvr,435,0.0087,0.00900742069857814
50000,1036,rev,435,0.00803063139735786,0.00814766840343161
50000,1037,ctr,2408,0.04816,0.04967408156579895
50000,1037,cvr,418,0.00836,0.00900742069857814
50000,1037,rev,418,0.007248430395166757,0.00814766840343161
50000,1038,ctr,2436,0.04872,0.04967408156579895
50000,1038,cvr,407,0.00814,0.00900742069857814
50000,1038,rev,407,0.00751792869668014,0.00814766840343161
50000,1039,ctr,2534,0.05068,0.04967408156579895
50000,1039,cvr,433,0.00866,0.00900742069857814
50000,1039,rev,433,0.008655821290166944,0.00814766840343161
